timestamp,features,head_mode,eval_kind,manyup_ckpt,manyup_use_proj,time_pool,epochs,lr,knn_k,batch_size,seed,test_miou,test_overall_acc,avg_epoch_sec,manyup_native_out,timanyup_ckpt,timanyup_k,timanyup_hrlc,timanyup_query_input,timanyup_train_transform,timanyup_transform_epochs
2026-09-10T18:27:22,oe_base_s2_ps16_tile64,timanyup,lp,,,mean,32,0.01,,32,0,0.43,0.76,119.19,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep4.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T18:27:29,oe_base_s2_ps16_tile64,timanyup,lp,,,mean,32,0.01,,32,0,0.44,0.76,118.98,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep14.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T18:28:17,oe_base_s2_ps16_tile64,timanyup,lp,,,mean,32,0.01,,32,0,0.43,0.76,121.24,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs16_ep14.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T18:29:00,oe_base_s2_ps16_tile64,timanyup,lp,,,mean,32,0.01,,32,0,0.43,0.76,122.25,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs16_ep9.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T18:36:20,oe_base_s2_ps16_tile64,timanyup,lp,,,mean,32,0.01,,32,0,0.42,0.75,136.19,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs16_ep4.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T19:34:46,oe_base_s2_ps16_tile64,timanyup_t,lp,,,mean,32,0.01,,32,0,0.50,0.78,116.16,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep4.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T19:35:49,oe_base_s2_ps16_tile64,timanyup_t,lp,,,mean,32,0.01,,32,0,0.50,0.78,117.77,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep9.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T19:36:29,oe_base_s2_ps16_tile64,timanyup_t,lp,,,mean,32,0.01,,32,0,0.50,0.78,119.18,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T19:36:42,oe_base_s2_ps16_tile64,timanyup_t,lp,,,mean,32,0.01,,32,0,0.50,0.78,119.37,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep14.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T19:38:27,oe_base_s2_ps16_tile64,timanyup_t,lp,,,mean,32,0.01,,32,0,0.50,0.78,121.35,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs16_ep14.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T19:41:39,oe_base_s2_ps16_tile64,timanyup_t,lp,,,mean,32,0.01,,32,0,0.50,0.78,123.78,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs16_ep9.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T19:55:57,oe_base_s2_ps16_tile64,timanyup_t,lp,,,mean,32,0.01,,32,0,0.49,0.78,137.78,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs16_ep4.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T20:24:10,oe_base_s2_ps4_tile4_single,lp_pa2px,lp,,,,32,0.01,,32,0,0.44,0.76,4.42,,,,,,,
2026-09-10T20:34:26,oe_base_s2_ps4_tile4_single,lp_pa2px_ens,lp,,,,32,0.01,,32,0,0.53,0.80,24.15,,,,,,,
2026-09-10T20:52:52,oe_base_s2_ps16_tile64,anyup_t2,lp,,,mean,32,0.01,,4,0,0.37,0.71,121.79,,,,,,,
2026-09-10T20:55:34,oe_base_s2_ps16_tile64,anyup_t1,lp,,,mean,32,0.01,,4,0,0.37,0.72,126.86,,,,,,,
2026-09-10T21:35:12,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.43,0.76,122.30,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,0,oe_base_s2_ps4_tile4_single,,,
2026-09-10T21:32:48,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.43,0.76,118.81,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,64,oe_base_s2_ps4_tile4_single,,,
2026-09-10T21:34:26,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.44,0.76,120.73,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,1024,oe_base_s2_ps4_tile4_single,,,
2026-09-10T21:34:29,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.44,0.76,121.69,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T21:35:22,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.45,0.77,121.40,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,2048,oe_base_s2_ps4_tile4_single,,,
2026-09-10T21:35:23,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.44,0.76,123.60,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,256,oe_base_s2_ps4_tile4_single,,,
2026-09-10T21:35:26,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.46,0.77,121.47,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,3072,oe_base_s2_ps4_tile4_single,,,
2026-09-10T22:41:10,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.50,0.78,118.50,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,64,oe_base_s2_ps4_tile4_single,,,
2026-09-10T22:43:52,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.51,0.78,119.99,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,1024,oe_base_s2_ps4_tile4_single,,,
2026-09-10T22:45:07,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.50,0.78,122.73,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,256,oe_base_s2_ps4_tile4_single,,,
